bird_id,bird_reference,bird_reference_2019,bird_euring,bird_bto,bird_shorthand,bird_scheme,bird_ring_number,bird_name,bird_sex,bird_birth_year,bird_date_begin,bird_date_end,bird_rings_changed,bird_age_ringing,bird_ring_position,bird_ring_direction,bird_notes
,1275,1275,05920,,BW(YHA.V),BLB,H...903205,,U,,2013-08-07T00:00:00Z,,2,1,RB,U,
,1276,1276,05920,,BW(YUA.G),BLB,H...903206,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1277,1277,05920,,BW(T.JAL),BLB,H...903207,,U,,2013-08-07T00:00:00Z,,2,1,RB,U,
,1278,1278,05910,,,BLB,L...917792,,U,,2001-07-14T00:00:00Z,2013-06-11T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,1278,1278,05910,,BW(U.NAA),BLB,L...917792,,U,,2013-06-11T00:00:00Z,,1,A,RB,U,
,1279,1279,05920,,BW(TK.AN),BLB,H...903209,,U,,2013-08-07T00:00:00Z,2016-03-07T00:00:00Z,2,A,RB,U,
,1280,1280,05920,,BW(T.KAR),BLB,H...903210,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1281,1281,05920,,BW(TJ.AF),BLB,H...903211,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1282,1282,05920,,BW(T.KAB),BLB,H...905602,,U,,2013-08-29T00:00:00Z,,2,3,,,
,1283,1283,05920,,BW(THA.U),BLB,H...903213,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1284,1284,05920,,BW(T.KAU),BLB,H...903214,,U,,2013-08-07T00:00:00Z,,2,1,RB,U,
,1285,1285,05920,,BW(U.SAP),BLB,H...903215,,U,,2013-08-07T00:00:00Z,,2,1,RB,U,
,1286,1286,05920,,BW(U.CAL),BLB,H...903216,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1287,1287,05920,,BW(TPA.R),BLB,H...903217,,U,,2013-08-07T00:00:00Z,,2,3,LB,U,
,1288,1288,05920,,BW(Y.JAW),BLB,H...903218,,U,,2013-08-07T00:00:00Z,,2,3,RB,U,
,1289,1289,05920,,BW(YJA.K),BLB,H...903219,,U,,2013-08-07T00:00:00Z,,2,3,RB,U,
,1290,1290,05920,,BW(YH.AR),BLB,H...903220,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1291,1291,05920,,BW(TL.AL),BLB,H...903221,,U,,2013-08-07T00:00:00Z,,2,1,LB,U,
,1292,1292,05920,,BW(LHA.R),BLB,H...900878,,F,,2010-05-28T00:00:00Z,,2,A,RB,U,
,1293,1293,05910,,BW(L.HAS),BLB,L...913034,,M,,2010-05-28T00:00:00Z,,2,A,RB,U,
,1294,1294,05910,,,BLB,L...913036,,M,,2001-07-04T00:00:00Z,2010-05-28T00:00:00Z,0,1,,,sovon_bird_shorthand not available.
,1294,1294,05910,,BW(LH.AT),BLB,L...913036,,M,,2010-05-28T00:00:00Z,,1,A,RB,U,
,1295,1295,05920,,BW(C.MAF),BLB,H...153993,,U,,2008-07-07T00:00:00Z,,2,9,RB,U,
,1296,1296,05920,,BW(C.LAT),BLB,H...146494,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1297,1297,05920,,BW(F.PAZ),BLB,H...153989,,U,,2008-07-07T00:00:00Z,2013-05-28T00:00:00Z,2,1,RB,U,
,1298,1298,05920,,BW(F.PAT),BLB,H...153973,,U,,2008-07-07T00:00:00Z,,2,1,RB,,
,1299,1299,05920,,BW(FR.AK),BLB,H...153988,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1300,1300,05920,,BW(CMA.A),BLB,H...153990,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1301,1301,05920,,BW(C.MAB),BLB,H...153991,,U,,2008-07-07T00:00:00Z,2019-06-29T00:00:00Z,2,1,,,
,1301,1301,05920,,BW(C.MAB),,,,U,,2019-06-29T00:00:00Z,,0,,RB,U,
,1302,1302,05920,,BW(CM.AC),BLB,H...153992,,U,,2008-07-07T00:00:00Z,,2,1,RB,D,
,1303,1303,05920,,BW(CM.AG),BLB,H...153994,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1304,1304,05920,,BW(C.MAX),BLB,H...153995,,U,,2008-07-12T00:00:00Z,,2,1,RB,,
,1305,1305,05920,,BW(CL.AM),BLB,H...146489,,U,,2008-06-25T00:00:00Z,,2,1,RB,D,
,1306,1306,05920,,BW(CLA.N),BLB,H...146490,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1307,1307,05920,,BW(C.LAP),BLB,H...146491,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1308,1308,05920,,BW(CL.AR),BLB,H...146492,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1309,1309,05920,,BW(CLA.S),BLB,H...146493,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1310,1310,05920,,BW(C.LAW),BLB,H...146495,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1311,1311,05920,,BW(C.LAL),BLB,H...146496,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1312,1312,05920,,BW(CL.AU),BLB,H...146497,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1313,1313,05920,,BW(C.LAH),BLB,H...146498,,U,,2008-06-25T00:00:00Z,2008-09-01T00:00:00Z,2,1,RB,U,
,1314,1314,05920,,BW(CLA.K),BLB,H...146499,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1315,1315,05920,,BW(CLA.V),BLB,H...146500,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1316,1316,05920,,BW(CL.AX),BLB,H...152702,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1317,1317,05920,,BW(C.LAZ),BLB,H...152703,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1318,1318,05920,,BW(CRA.A),BLB,H...152704,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1319,1319,05920,,BW(C.RAB),BLB,H...152705,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1320,1320,05920,,BW(CR.AC),BLB,H...152706,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1321,1321,05920,,BW(CRA.D),BLB,H...152707,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1322,1322,05920,,BW(C.RAF),BLB,H...152708,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1323,1323,05920,,BW(CR.AG),BLB,H...152709,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1324,1324,05920,,BW(CRA.H),BLB,H...152710,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1325,1325,05920,,BW(C.RAJ),BLB,H...152711,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1326,1326,05920,,BW(CR.AK),BLB,H...152712,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1327,1327,05910,,BW(HY.AA),BLB,L...909226,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1328,1328,05910,,BW(HYA.B),BLB,L...909227,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1329,1329,05910,,BW(HY.AD),BLB,L...909229,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1330,1330,05920,,BW(CR.AN),BLB,H...152714,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1331,1331,05920,,BW(CRA.L),BLB,H...152713,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1332,1332,05920,,BW(CRA.P),BLB,H...152715,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1333,1333,05920,,BW(CR.AS),BLB,H...152717,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1334,1334,05920,,BW(CRA.T),BLB,H...152718,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1335,1336,05920,,BW(CR.AV),BLB,H...152720,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1336,1337,05920,,BW(CRA.W),BLB,H...152721,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1337,1338,05920,,BW(C.RAX),BLB,H...152722,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1338,1339,05920,,BW(CRA.Z),BLB,H...152723,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1339,1340,05920,,BW(CS.AA),BLB,H...152724,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1340,1341,05920,,BW(C.SAC),BLB,H...152725,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1341,1342,05920,,BW(CSA.F),BLB,H...152726,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1342,1343,05910,,BW(HY.AH),BLB,L...909234,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1343,1344,05910,,BW(H.YAG),BLB,L...909225,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1344,1345,05910,,BW(H.YAC),BLB,L...909222,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1345,1346,05910,,BW(HYA.F),BLB,L...909238,,U,,2008-06-25T00:00:00Z,,2,1,RB,U,
,1346,1347,05910,,BW(CSA.B),BLB,L...909302,,U,,2008-06-30T00:00:00Z,,2,1,RB,U,
,1347,1348,05910,,BW(C.SAG),BLB,L...909303,,M,,2008-06-30T00:00:00Z,,2,1,RB,U,
,1348,1349,05910,,BW(CSA.J),BLB,L...909304,,U,,2008-06-30T00:00:00Z,,2,1,RB,U,
,1349,1350,05920,,BW(CS.AD),BLB,H...152727,,U,,2008-06-30T00:00:00Z,,2,1,RB,U,
,1350,1351,05920,,BW(HA.AF),BLB,H...152749,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1351,1352,05920,,BW(CNA.U),BLB,H...152750,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1352,1353,05920,,BW(C.NAK),BLB,H...152951,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1353,1354,05920,,BW(C.NAN),BLB,H...152952,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1354,1355,05920,,BW(CNA.R),BLB,H...152953,,U,,2008-07-04T00:00:00Z,2011-04-15T00:00:00Z,2,1,RB,U,
,1355,1356,05920,,BW(C.NAS),BLB,H...152954,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1356,1357,05920,,BW(CN.AT),BLB,H...152955,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1357,1358,05910,,BW(HA.AM),BLB,L...909337,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1358,1359,05910,,BW(HAA.G),BLB,L...909376,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1359,1360,05910,,BW(HA.AJ),BLB,L...909338,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1360,1361,05910,,BW(H.AAL),BLB,L...909375,,U,,2008-07-04T00:00:00Z,2008-08-05T00:00:00Z,2,1,RB,U,
,1361,1362,05910,,BW(HAA.K),BLB,L...909325,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1362,1363,05910,,BW(H.AAP),BLB,L...909332,,M,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1363,1364,05910,,BW(HA.AR),BLB,L...909331,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1364,1365,05910,,BW(HAA.N),BLB,L...909323,,M,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1365,1366,05910,,BW(HAA.S),BLB,L...909324,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1366,1367,05910,,BW(H.AAT),BLB,L...909333,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1367,1368,05910,,BW(HA.AX),BLB,L...909334,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1368,1369,05910,,BW(H.AAW),BLB,L...909336,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1369,1370,05910,,BW(H.AAZ),BLB,L...909340,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1370,1371,05910,,BW(H.DAA),BLB,L...909343,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1371,1372,05910,,BW(HD.AB),BLB,L...909335,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1372,1373,05910,,BW(H.DAD),BLB,L...909339,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1373,1374,05910,,BW(HDA.G),BLB,L...909350,,U,,2008-07-04T00:00:00Z,2015-08-16T00:00:00Z,2,1,RB,U,
,1374,1375,05910,,BW(HDA.C),BLB,L...909344,,U,,2008-07-04T00:00:00Z,2017-05-17T00:00:00Z,2,1,RB,U,
,1374,1375,05910,,,BLB,L...909344,,U,,2017-05-17T00:00:00Z,,1,A,,,
,1375,1376,05910,,BW(H.DAH),BLB,L...909349,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1376,1377,05910,,BW(HDA.N),BLB,L...909348,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1377,1378,05910,,BW(HD.AF),BLB,L...909345,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1378,1379,05910,,BW(HD.AU),BLB,L...909347,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1379,1380,05910,,BW(H.DAW),BLB,L...909801,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1380,1381,05910,,BW(H.DAL),BLB,L...909802,,U,,2008-07-04T00:00:00Z,,2,1,RB,U,
,1381,1382,05910,,BW(HD.AR),BLB,L...909803,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1382,1383,05910,,BW(H.DAP),BLB,L...909804,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1383,1384,05910,,BW(HD.AJ),BLB,L...909805,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1384,1385,05910,,BW(HD.AM),BLB,L...909806,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1385,1386,05910,,BW(HDA.V),BLB,L...909807,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1386,1387,05910,,BW(H.DAZ),BLB,L...909808,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1387,1388,05910,,BW(HD.AX),BLB,L...909809,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1388,1389,05910,,BW(H.DAT),BLB,L...909810,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1389,1390,05910,,BW(HMA.A),BLB,L...909811,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1390,1391,05910,,BW(H.MAB),BLB,L...909812,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1391,1392,05910,,BW(HM.AC),BLB,L...909813,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1392,1393,05910,,BW(HMA.D),BLB,L...909814,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1393,1394,05910,,BW(HM.AG),BLB,L...909815,,U,,2008-07-07T00:00:00Z,2011-05-25T00:00:00Z,2,1,RB,U,
,1394,1395,05910,,BW(H.MAR),BLB,L...909816,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1395,1396,05910,,BW(HMA.P),BLB,L...909817,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1396,1397,05910,,BW(HMA.L),BLB,L...909818,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1397,1398,05910,,BW(H.MAJ),BLB,L...909819,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1398,1399,05910,,BW(HM.AK),BLB,L...909820,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1399,1400,05910,,BW(HMA.H),BLB,L...909821,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1400,1401,05910,,BW(H.MAF),BLB,L...909822,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1401,1402,05910,,BW(H.MAM),BLB,L...909823,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1402,1403,05910,,BW(H.MAU),BLB,L...907262,,U,,2008-07-28T00:00:00Z,2008-08-08T00:00:00Z,2,1,RB,U,
,1403,1404,05910,,BW(HM.AS),BLB,L...909825,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1404,1405,05910,,BW(HM.AN),BLB,L...909826,,U,,2008-07-07T00:00:00Z,2008-07-31T00:00:00Z,2,1,RB,U,
,1405,1406,05910,,BW(HMA.Z),BLB,L...909827,,U,,2008-07-07T00:00:00Z,,2,1,RB,D,
,1406,1407,05910,,BW(HMA.T),BLB,L...909828,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1407,1408,05910,,BW(HM.AV),BLB,L...909829,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1408,1409,05910,,BW(H.MAX),BLB,L...909830,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1409,1410,05910,,BW(HMA.W),BLB,L...909831,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1410,1411,05910,,BW(H.ZAA),BLB,L...909832,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1411,1412,05920,,BW(CNAP),BLB,H...903794,,U,,2008-07-07T00:00:00Z,2016-06-08T00:00:00Z,2,1,,,
,1411,1412,05920,,BW(Z.XAD),BLB,H...903794,,U,,2016-06-08T00:00:00Z,,1,A,RB,U,
,1412,1413,05920,,BW(CNA.M),BLB,H...152957,,U,,2008-07-07T00:00:00Z,,2,1,RB,U,
,1413,1414,05920,,BW(CFA.L),BLB,H...145758,,U,,2008-07-15T00:00:00Z,,2,1,RB,U,
,1414,1415,05920,,BW(CFA.H),BLB,H...145761,,U,,2008-07-15T00:00:00Z,,2,1,RB,U,
,1415,1416,05910,,BW(H.NAG),BLB,L...907352,,U,,2008-07-15T00:00:00Z,,2,1,RB,U,
,1416,1417,05920,,BW(CFA.W),BLB,H...145770,,U,,2008-07-15T00:00:00Z,,2,1,RB,U,
,1417,1418,05910,,BW(H.SAG),BLB,L...907180,,U,,2008-07-23T00:00:00Z,,2,1,RB,U,
,1418,1419,05920,,BW(CJ.AS),BLB,H...145712,,U,,2008-07-18T00:00:00Z,,2,1,RB,U,
,1419,1420,05920,,BW(CKA.U),BLB,H...145703,,U,,2008-07-16T00:00:00Z,2008-09-16T00:00:00Z,2,1,RB,U,
,1420,1421,05910,,BW(H.PAW),BLB,L...909329,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1421,1422,05910,,BW(HTA.G),BLB,L...907396,,U,,2008-07-16T00:00:00Z,,2,1,RB,U,
,1422,1423,05910,,BW(HKAT),BLB,L...907266,,U,,2008-07-11T00:00:00Z,2016-05-26T00:00:00Z,2,1,,,
,1422,1423,05910,,BW(RUA.K),BLB,L...907266,,U,,2016-05-26T00:00:00Z,,1,A,RB,U,
,1423,1424,05910,,BW(HK.AP),BLB,L...907276,,M,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1424,1425,05920,,BW(C.KAS),BLB,H...152975,,F,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1425,1426,05910,,BW(HK.AW),BLB,L...907265,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1426,1427,05910,,BW(HKA.M),BLB,L...907277,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1427,1428,05910,,BW(H.KAK),BLB,L...907274,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1428,1429,05910,,BW(HK.AL),BLB,L...907269,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1429,1430,05910,,BW(HKA.U),BLB,L...907267,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1430,1431,05920,,BW(CKA.R),BLB,H...152976,,U,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1431,1432,05920,,BW(CK.AZ),BLB,H...152981,,M,,2008-07-11T00:00:00Z,,2,1,RB,U,
,1432,1433,05920,,BW(CS.AL),BLB,H...152728,,M,,2008-07-02T00:00:00Z,,2,1,RB,D,
,1433,1434,05920,,BW(C.SAN),BLB,H...152730,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1434,1435,05920,,BW(CSA.M),BLB,H...152731,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1435,1436,05920,,BW(C.SAS),BLB,H...152732,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1436,1437,05920,,BW(CS.AH),BLB,H...152733,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1437,1438,05920,,BW(CSA.X),BLB,H...152734,,U,,2008-07-02T00:00:00Z,2019-08-04T00:00:00Z,2,1,RB,U,
,1438,1439,05920,,BW(CS.AT),BLB,H...152735,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1439,1440,05920,,BW(CSA.U),BLB,H...152736,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1440,1441,05920,,BW(C.SAV),BLB,H...152737,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1441,1442,05920,,BW(CS.AZ),BLB,H...152738,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1442,1443,05920,,BW(CSA.R),BLB,H...152739,,U,,2008-07-02T00:00:00Z,2012-05-22T00:00:00Z,2,1,RB,U,
,1443,1444,05920,,BW(CS.AW),BLB,H...152740,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1444,1445,05920,,BW(CS.AP),BLB,H...152741,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1445,1446,05920,,BW(CN.AD),BLB,H...152742,,U,,2008-07-02T00:00:00Z,2008-08-06T00:00:00Z,2,1,RB,U,
,1446,1447,05920,,BW(CNA.J),BLB,H...152743,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1447,1448,05920,,BW(CN.AW),BLB,H...152744,,U,,2008-07-02T00:00:00Z,2008-08-22T00:00:00Z,2,1,RB,U,
,1448,1449,05920,,BW(C.NAG),BLB,H...152746,,U,,2008-07-02T00:00:00Z,,2,1,RB,U,
,1449,1450,05920,,BW(CN.AH),BLB,H...152747,,U,,2008-07-02T00:00:00Z,2008-08-22T00:00:00Z,2,1,RB,U,
,1450,1451,05920,,BW(CN.AL),BLB,H...152748,,U,,2008-07-02T00:00:00Z,2008-11-14T00:00:00Z,2,1,RB,D,
,1451,1452,05910,,BW(H.ZAP),BLB,L...909232,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1452,1453,05910,,BW(HZ.AU),BLB,L...909236,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1453,1454,05910,,BW(HZA.C),BLB,L...909249,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1454,1455,05910,,BW(HZ.AM),BLB,L...909221,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1455,1456,05910,,BW(H.ZAW),BLB,L...909231,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1456,1457,05910,,BW(H.ZAD),BLB,L...909250,,F,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1457,1458,05910,,BW(HZ.AF),BLB,L...909224,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1458,1459,05910,,BW(H.ZAL),BLB,L...909237,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1459,1460,05910,,BW(HZA.K),BLB,L...909228,,M,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1460,1461,05910,,BW(H.ZAT),BLB,L...909233,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1461,1462,05910,,BW(HZA.S),BLB,L...909230,,F,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1462,1463,05910,,BW(HZ.AX),BLB,L...909223,,U,,2008-07-09T00:00:00Z,2008-08-22T00:00:00Z,2,1,RB,U,
,1463,1464,05910,,BW(HZ.AR),BLB,L...909247,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1464,1465,05910,,BW(KJ.AL),BLB,L...909248,,U,,2008-07-09T00:00:00Z,,2,1,RB,D,
,1465,1466,05910,,BW(HZA.V),BLB,L...909239,,M,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1466,1467,05910,,BW(H.ZAZ),BLB,L...909241,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1467,1468,05910,,BW(HZA.G),BLB,L...909245,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1468,1469,05910,,BW(HZA.N),BLB,L...909244,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1469,1470,05910,,BW(HZ.AJ),BLB,L...909243,,U,,2008-07-09T00:00:00Z,2008-08-17T00:00:00Z,2,1,RB,U,
,1470,1471,05910,,BW(H.ZAH),BLB,L...909242,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1471,1472,05910,,BW(HC.AP),BLB,L...909833,,F,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1472,1473,05910,,BW(HCAM),BLB,L...909834,,U,,2008-07-09T00:00:00Z,2016-06-01T00:00:00Z,2,1,,,
,1472,1473,05910,,BW(A.KOL),BLB,L...909834,,U,,2016-06-01T00:00:00Z,,1,A,RB,U,
,1473,1474,05910,,BW(KJ.AG),BLB,L...909835,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1474,1475,05910,,BW(HCA.R),BLB,L...909836,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1475,1476,05910,,BW(KJ.AF),BLB,L...909837,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1476,1477,05910,,BW(KJ.AD),BLB,L...909838,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1477,1478,05910,,BW(H.CAG),BLB,L...909839,,M,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1478,1479,05910,,BW(HCAH),BLB,L...909840,,U,,2008-07-09T00:00:00Z,2018-06-05T00:00:00Z,2,1,,,
,1478,1479,05910,,BW(DCO.G),BLB,L...909840,,U,,2018-06-05T00:00:00Z,,1,A,RB,D,
,1479,1480,05910,,BW(HCA.J),BLB,L...909841,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1480,1481,05910,,BW(HC.AZ),BLB,L...909842,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1481,1482,05910,,BW(HCA.X),BLB,L...909843,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1482,1483,05910,,BW(HCAU),BLB,L...914810,,M,,2008-07-09T00:00:00Z,2012-05-23T00:00:00Z,2,1,,,
,1482,1483,05910,,BW(T.MAT),BLB,L...914810,,M,,2012-05-23T00:00:00Z,,1,A,RB,U,
,1483,1484,05910,,BW(H.CAV),BLB,L...909846,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1484,1485,05910,,BW(HC.AW),BLB,L...909847,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1485,1486,05910,,BW(KJ.AN),BLB,L...909848,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1486,1487,05910,,BW(KJ.AP),BLB,L...909849,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1487,1488,05910,,BW(H.CAK),BLB,L...909850,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1488,1489,05910,,BW(HC.AL),BLB,L...907251,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1489,1490,05910,,BW(HJA.Z),BLB,L...909158,,U,,2008-07-14T00:00:00Z,,2,1,RB,U,
,1490,1491,05910,,BW(H.CAN),BLB,L...907254,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1491,1492,05910,,BW(KJ.AR),BLB,L...907255,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1492,1493,05910,,BW(H.CAS),BLB,L...907256,,U,,2008-07-09T00:00:00Z,,2,1,RB,U,
,1493,1494,05910,,BW(HRA.A),BLB,L...909162,,M,,2008-07-28T00:00:00Z,,2,1,RB,U,
